Fiyat (Metin),Fiyat (Sayisal),Konum,Last Update Date,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Title Deed Status,Furnishing Status,Usage Status
5.500.000 TRY,5500000.0,hurriyet,03-10-2025,3 + 1,2.0,"130 m2 
/ 120 m2",4 Storey,1.,11 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
3.200.000 TRY,3200000.0,ataturk,19-10-2025,2 + 1,1.0,"90 m2 
/ 80 m2",4 Storey,2.,New Property,Air Conditioning,Condominium,Furnished,Empty
4.650.000 TRY,4650000.0,yenigun,04-10-2025,3 + 1,1.0,"130 m2 
/ 125 m2",7 Storey,4.,20 at Age,Combi Boiler,Condominium,Not Furnished,Tenanted
2.050.000 TRY,2050000.0,adatepe,17-10-2025,1 + 1,1.0,"45 m2 
/ 40 m2",4 Storey,Ground,5 at Age,Combi Boiler,Floor Easement,Furnished,Tenanted
4.500.000 TRY,4500000.0,adatepe,20-10-2025,3 + 1,1.0,"150 m2 
/ 135 m2",2 Storey,2.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
5.250.000 TRY,5250000.0,yigitler,24-08-2025,3 + 1,1.0,"140 m2 
/ 125 m2",4 Storey,2.,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
2.350.000 TRY,2350000.0,laleli,22-10-2025,2 + 1,1.0,"115 m2 
/ 75 m2",4 Storey,Basement and Ground,30 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
2.580.000 TRY,2580000.0,hurriyet,14-08-2025,1 + 1,1.0,"52 m2 
/ 44 m2",4 Storey,Raised Ground,4 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
6.850.000 TRY,6850000.0,yesilbaglar,17-09-2025,3 + 1,2.0,"160 m2 
/ 140 m2",8 Storey,4.,1 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
4.950.000 TRY,4950000.0,izkent,23-10-2025,2 + 1,1.0,"72 m2 
/ 59 m2",9 Storey,7.,New Property,Central Heating (Share Meter),Floor Easement,Not Furnished,Empty
3.000.000 TRY,3000000.0,kurucesme,03-10-2025,1 + 1,1.0,"60 m2 
/ 50 m2",4 Storey,4.,5 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
11.000.000 TRY,11000000.0,inkilap,11-10-2025,3 + 1,2.0,"140 m2 
/ 135 m2",4 Storey,1.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
3.500.000 TRY,3500000.0,baris,14-10-2025,2 + 1,2.0,"100 m2 
/ 90 m2",4 Storey,3.,20 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
4.750.000 TRY,4750000.0,kozagac,28-07-2025,2 + 1,1.0,"115 m2 
/ 110 m2",4 Storey,2.,New Property,Underfloor Heating,Floor Easement,Not Furnished,Empty
2.500.000 TRY,2500000.0,kurucesme,20-09-2025,1 + 1,1.0,"44 m2 
/ 40 m2",9 Storey,Ground,6 at Age,Combi Boiler,Floor Easement,Furnished,Tenanted
6.900.000 TRY,6900000.0,ataturk,25-10-2025,3 + 1,2.0,"140 m2 
/ 135 m2",10 Storey,2.,5 at Age,Combi Boiler,Condominium,Not Furnished,Tenanted
3.500.000 TRY,3500000.0,kurucesme,14-10-2025,2 + 1,2.0,"100 m2 
/ 90 m2",2 Storey,Raised Ground,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
3.950.000 TRY,3950000.0,kozagac,21-10-2025,3 + 1,1.0,"130 m2 
/ 120 m2",3 Storey,2.,28 at Age,Combi Boiler,Condominium,Not Furnished,
