Link,Baslik,Fiyat (Metin),Fiyat (Sayisal),Konum,Listing No,Last Update Date,Listing status,Residence Type,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Loan Availability,Title Deed Status,Furnishing Status,Usage Status,Swap,Facade
https://www.hepsiemlak.com/en/izmir-buca-yaylacik-satilik/daire/162032-125,"125 Square Meters Apartment For Sale in Buca, Izmir",4.200.000 TRY,4200000.0,yaylacik,162032-125,21/10/2025,For Sale,Apartment,3 + 1,1.0,"125 m2 
/ 110 m2",10 Storey,7,23 at Age,Combi Boiler,Available,Condominium,Not Furnished,,,
https://www.hepsiemlak.com/en/izmir-buca-inonu-satilik/daire/154139-27,"150 Square Meters Apartment For Sale in Buca, Izmir",5.475.000 TRY,5475000.0,inonu,154139-27,20/09/2025,For Sale,Apartment,3 + 1,2.0,"150 m2 
/ 140 m2",4 Storey,2,1 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Tenanted,No,
https://www.hepsiemlak.com/en/izmir-buca-dicle-satilik/bina/126264-1958,"112 Square Meters Building For Sale in Buca, Izmir",4.500.000 TRY,4500000.0,dicle,126264-1958,06/10/2025,For Sale,Building,2 + 1,1.0,"112 m2 
/ 100 m2",2 Storey,,30 at Age,Heating Stove,Available,Freehold Title Deed,Not Furnished,Owner,No,"North, South"
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/68864-2526,"75 Square Meters Apartment For Sale in Buca, Izmir",2.840.000 TRY,2840000.0,adatepe,68864-2526,14/10/2025,For Sale,Apartment,1 + 1,1.0,"75 m2 
/ 70 m2",3 Storey,Raised Ground,5 at Age,Combi Boiler,Available,Floor Easement,Furnished,Empty,No,
https://www.hepsiemlak.com/en/izmir-buca-kozagac-satilik/daire/103185-535,"75 Square Meters Apartment For Sale in Buca, Izmir",3.625.000 TRY,3625000.0,kozagac,103185-535,20/10/2025,For Sale,Apartment,2 + 1,1.0,"75 m2 
/ 65 m2",4 Storey,Top,8 at Age,Combi Boiler,Available,Floor Easement,,Owner,No,
https://www.hepsiemlak.com/en/izmir-buca-hurriyet-satilik/daire/24511-9716,"95 Square Meters Apartment For Sale in Buca, Izmir",3.720.000 TRY,3720000.0,hurriyet,24511-9716,17/10/2025,For Sale,Apartment,2 + 1,1.0,"95 m2 
/ 88 m2",3 Storey,3,5 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Empty,No,"North, South"
https://www.hepsiemlak.com/en/izmir-buca-hurriyet-satilik/daire/24511-9684,"135 Square Meters Apartment For Sale in Buca, Izmir",4.150.000 TRY,4150000.0,hurriyet,24511-9684,30/09/2025,For Sale,Apartment,3 + 1,1.0,"135 m2 
/ 125 m2",3 Storey,3,17 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Owner,No,"South, East"
https://www.hepsiemlak.com/en/izmir-buca-menderes-satilik/daire/3526-3198,"160 Square Meters Apartment For Sale in Buca, Izmir",6.750.000 TRY,6750000.0,menderes,3526-3198,17/09/2025,For Sale,Apartment,2 + 1,2.0,"160 m2 
/ 140 m2",3 Storey,3,30 at Age,Combi Boiler,Available,Condominium,Not Furnished,Owner,No,
https://www.hepsiemlak.com/en/izmir-buca-mustafa-kemal-satilik/daire/51456-7497,"129 Square Meters Apartment For Sale in Buca, Izmir",4.500.000 TRY,4500000.0,mustafa-kemal,51456-7497,21/10/2025,For Sale,Apartment,3 + 1,3.0,"129 m2 
/ 118 m2",4 Storey,1,11 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Tenanted,No,"North, South, East"
https://www.hepsiemlak.com/en/izmir-buca-ataturk-satilik/daire/154469-37,"55 Square Meters Apartment For Sale in Buca, Izmir",2.075.000 TRY,2075000.0,ataturk,154469-37,17/10/2025,For Sale,Apartment,1 + 1,1.0,"55 m2 
/ 50 m2",3 Storey,Raised Ground,5 at Age,Combi Boiler,Available,Floor Easement,Furnished,Tenanted,No,
https://www.hepsiemlak.com/en/izmir-buca-goksu-satilik/daire/111716-1310,"125 Square Meters Apartment For Sale in Buca, Izmir",2.600.000 TRY,2600000.0,goksu,111716-1310,03/10/2025,For Sale,Apartment,3 + 1,1.0,"125 m2 
/ 120 m2",4 Storey,3,20 at Age,Combi Boiler,Available,Condominium,Not Furnished,,No,"South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/141901-447,"55 Square Meters Apartment For Sale in Buca, Izmir",1.930.000 TRY,1930000.0,adatepe,141901-447,21/10/2025,For Sale,Apartment,1 + 1,1.0,"55 m2 
/ 40 m2",4 Storey,Ground,11 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Tenanted,No,East
https://www.hepsiemlak.com/en/izmir-buca-kozagac-satilik/daire/150997-85,"120 Square Meters Apartment For Sale in Buca, Izmir",3.300.000 TRY,3300000.0,kozagac,150997-85,08/10/2025,For Sale,Apartment,2 + 1,1.0,"120 m2 
/ 84 m2",4 Storey,Raised Ground,8 at Age,Combi Boiler,Available,Floor Easement,Furnished,Empty,No,
