Link,Baslik,Fiyat (Metin),Fiyat (Sayisal),Konum,Listing No,Last Update Date,Listing status,Residence Type,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Loan Availability,Title Deed Status,Furnishing Status,Usage Status,Inside The Site,Swap,Facade,Property Structure,Fuel Type,Structure Type,State of the Building,Rental Income,Dues,Authorized Office,Last Update Dat...,Number Of Room ...,Number of Bathr...,Number of Floor...,Loan Availabili...,Title Deed Stat...,Furnishing Stat...,Closed Area M2,Open Area M2,Property Struct...,State of the Bu...,Authorized Offi...
https://www.hepsiemlak.com/en/izmir-buca-kozagac-satilik/daire/68864-2540,"80 Square Meters Apartment For Sale in Buca, Izmir",3.900.000 TRY,3900000.0,,68864-2540,,For Sale,Apartment,,,"80 m2 
/ 70 m2",,3.,5 at Age,Combi Boiler,,,,Tenanted,,No,,,,,,,,,14-10-2025,2 + 1,1,3 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-ufuk-satilik/daire/110918-1191,"130 Square Meters Apartment For Sale in Buca, Izmir",4.800.000 TRY,4800000.0,,110918-1191,,For Sale,Apartment,,,"130 m2 
/ 120 m2",,4.,16 at Age,Combi Boiler,,,,Owner,,No,,,Gas,Reinforced Conc...,,,,,22-10-2025,3 + 1,1,4 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-hurriyet-satilik/daire/143819-128,"130 Square Meters Apartment For Sale in Buca, Izmir",4.250.000 TRY,4250000.0,,143819-128,,For Sale,Apartment,,,"130 m2 
/ 120 m2",,2.,26 at Age,Combi Boiler,,,,Tenanted,,No,"North, South, East",,,,,,150 TRY,,14-10-2025,3 + 1,1,4 Storey,Available,Condominium,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-ataturk-satilik/daire/151931-6,"55 Square Meters Apartment For Sale in Buca, Izmir",2.650.000 TRY,2650000.0,,151931-6,,For Sale,Apartment,,,"55 m2 
/ 50 m2",,4.,1 at Age,Combi Boiler,,,,Tenanted,,No,South,,,,,,250 TRY,,28-07-2025,1 + 1,1,4 Storey,Available,Condominium,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-laleli-satilik/daire/29626-2033,"110 Square Meters Apartment For Sale in Buca, Izmir",3.500.000 TRY,3500000.0,,29626-2033,,For Sale,Apartment,,,"110 m2 
/ 75 m2",,3.,45 at Age,Floor Heater,,,,Owner,,No,South,,Gas,Reinforced Conc...,,25.000 TRY,100 TRY,,01-10-2025,3 + 1,1,3 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-ataturk-satilik/daire/163034-20,"115 Square Meters Apartment For Sale in Buca, Izmir",4.400.000 TRY,4400000.0,,163034-20,,For Sale,Apartment,,,"115 m2 
/ 100 m2",,2.,17 at Age,Combi Boiler,,,,Tenanted,,No,,,Gas,Reinforced Conc...,,15.000 TRY,,,20-10-2025,3 + 1,1,5 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-ataturk-satilik/daire/79799-97,"170 Square Meters Apartment For Sale in Buca, Izmir",5.500.000 TRY,5500000.0,,79799-97,,For Sale,Apartment,,,"170 m2 
/ 160 m2",,Top,25 at Age,Combi Boiler,,,,Empty,,No,,,Gas,Reinforced Conc...,,28.000 TRY,250 TRY,,24-10-2025,4 + 1,2,5 Storey,Available,Condominium,Not Furnished,,,Çatı Dubleksi,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-hurriyet-satilik/daire/79799-98,"85 Square Meters Apartment For Sale in Buca, Izmir",2.900.000 TRY,2900000.0,,79799-98,,For Sale,Apartment,,,"85 m2 
/ 75 m2",,Raised Ground F...,8 at Age,Combi Boiler,,,,Unspecified,,No,,,Gas,,,,100 TRY,,24-10-2025,2 + 1,1,3 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-karanfil-satilik/daire/162032-25,"70 Square Meters Apartment For Sale in Buca, Izmir",2.500.000 TRY,2500000.0,,162032-25,,For Sale,Apartment,,,"70 m2 
/ 60 m2",,Garden,25 at Age,Combi Boiler,,,,,,No,,,Gas,,,,,,01-10-2025,2 + 0,1,5 Storey,Available,Condominium,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-efeler-satilik/daire/162032-33,"140 Square Meters Apartment For Sale in Buca, Izmir",11.500.000 TRY,11500000.0,,162032-33,,For Sale,Apartment,,,"140 m2 
/ 120 m2",,1.,4 at Age,Combi Boiler,,,,Empty,Verde Royal Sitesi,No,,,Gas,,,,,,18-09-2025,3 + 1,2,4 Storey,Available,Floor Easement,Not Furnished,,,Bahçe Dubleksi,,
https://www.hepsiemlak.com/en/izmir-buca-laleli-satilik/daire/70103-1073,"131 Square Meters Apartment For Sale in Buca, Izmir",4.000.000 TRY,4000000.0,,70103-1073,,For Sale,Apartment,,,"131 m2 
/ 130 m2",,3.,31 at Age,Gas Stove,,,,Empty,,No,"South, East, West",,,,,,,,12-10-2025,3 + 1,1,3 Storey,Available,Condominium,Not Furnished,,,,,
